"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
118,7 Jul 2022 11:56:57.697,7 Jul 2022 11:59:09.333,131.637
119,7 Jul 2022 21:57:39.269,7 Jul 2022 22:03:19.375,340.106
120,7 Jul 2022 23:32:29.609,7 Jul 2022 23:39:16.425,406.816
121,8 Jul 2022 10:15:18.070,8 Jul 2022 10:22:57.027,458.957
122,8 Jul 2022 11:53:36.046,8 Jul 2022 11:55:56.388,140.342
123,8 Jul 2022 21:54:23.310,8 Jul 2022 22:00:00.873,337.563
124,8 Jul 2022 23:29:11.946,8 Jul 2022 23:36:00.257,408.311
125,9 Jul 2022 10:12:01.473,9 Jul 2022 10:19:39.674,458.201
126,9 Jul 2022 11:50:14.675,9 Jul 2022 11:52:43.167,148.491
127,9 Jul 2022 21:51:07.368,9 Jul 2022 21:56:42.350,334.982
128,9 Jul 2022 23:25:54.292,9 Jul 2022 23:32:44.080,409.788
129,10 Jul 2022 10:08:44.883,10 Jul 2022 10:16:22.314,457.431
130,10 Jul 2022 11:46:53.541,10 Jul 2022 11:49:29.712,156.171
131,10 Jul 2022 21:47:51.443,10 Jul 2022 21:53:23.806,332.362
132,10 Jul 2022 23:22:36.645,10 Jul 2022 23:29:27.890,411.244
133,11 Jul 2022 10:05:28.302,11 Jul 2022 10:13:04.949,456.647
134,11 Jul 2022 11:43:32.609,11 Jul 2022 11:46:16.057,163.448
135,11 Jul 2022 21:44:35.538,11 Jul 2022 21:50:05.239,329.701
136,11 Jul 2022 23:19:19.007,11 Jul 2022 23:26:11.689,412.682
137,12 Jul 2022 10:02:11.728,12 Jul 2022 10:09:47.576,455.847
138,12 Jul 2022 11:40:11.855,12 Jul 2022 11:43:02.227,170.372
139,12 Jul 2022 21:41:19.652,12 Jul 2022 21:46:46.650,326.998
140,12 Jul 2022 23:16:01.376,12 Jul 2022 23:22:55.477,414.101
141,13 Jul 2022 09:58:55.163,13 Jul 2022 10:06:30.197,455.034
142,13 Jul 2022 11:36:51.257,13 Jul 2022 11:39:48.243,176.986
143,13 Jul 2022 21:38:03.788,13 Jul 2022 21:43:28.038,324.251
144,13 Jul 2022 23:12:43.753,13 Jul 2022 23:19:39.255,415.502
145,14 Jul 2022 09:55:38.607,14 Jul 2022 10:03:12.814,454.208
146,14 Jul 2022 11:33:30.799,14 Jul 2022 11:36:34.120,183.321
147,14 Jul 2022 21:34:47.944,14 Jul 2022 21:40:09.402,321.458
148,14 Jul 2022 23:09:26.138,14 Jul 2022 23:16:23.022,416.884
149,15 Jul 2022 09:52:22.058,15 Jul 2022 09:59:55.426,453.367
150,15 Jul 2022 11:30:10.468,15 Jul 2022 11:33:19.875,189.407
151,15 Jul 2022 21:31:32.122,15 Jul 2022 21:36:50.742,318.620
152,15 Jul 2022 23:06:08.530,15 Jul 2022 23:13:06.780,418.250
153,16 Jul 2022 09:49:05.519,16 Jul 2022 09:56:38.031,452.513
154,16 Jul 2022 11:26:50.250,16 Jul 2022 11:30:05.520,195.269
155,16 Jul 2022 21:28:16.323,16 Jul 2022 21:33:32.062,315.739
156,16 Jul 2022 23:02:50.931,16 Jul 2022 23:09:50.528,419.597
157,17 Jul 2022 09:45:48.988,17 Jul 2022 09:53:20.631,451.644
158,17 Jul 2022 11:23:30.137,17 Jul 2022 11:26:51.064,200.926
159,17 Jul 2022 21:25:00.542,17 Jul 2022 21:30:13.352,312.810
160,17 Jul 2022 22:59:33.339,17 Jul 2022 23:06:34.266,420.927
161,18 Jul 2022 09:42:32.465,18 Jul 2022 09:50:03.225,450.760
162,18 Jul 2022 11:20:10.120,18 Jul 2022 11:23:36.519,206.400
163,18 Jul 2022 21:21:44.789,18 Jul 2022 21:26:54.615,309.825
164,18 Jul 2022 22:56:15.755,18 Jul 2022 23:03:17.992,422.238
165,19 Jul 2022 09:39:15.951,19 Jul 2022 09:46:45.814,449.863
166,19 Jul 2022 11:16:50.191,19 Jul 2022 11:20:21.883,211.692
167,19 Jul 2022 21:18:29.061,19 Jul 2022 21:23:35.855,306.793
168,19 Jul 2022 22:52:58.178,19 Jul 2022 23:00:01.708,423.531
169,20 Jul 2022 09:35:59.446,20 Jul 2022 09:43:28.397,448.951
170,20 Jul 2022 11:13:30.344,20 Jul 2022 11:17:07.173,216.829
171,20 Jul 2022 21:15:13.355,20 Jul 2022 21:20:17.065,303.710
172,20 Jul 2022 22:49:40.608,20 Jul 2022 22:56:45.418,424.810
173,21 Jul 2022 09:32:42.949,21 Jul 2022 09:40:10.973,448.024
174,21 Jul 2022 11:10:10.573,21 Jul 2022 11:13:52.386,221.813
175,21 Jul 2022 21:11:57.674,21 Jul 2022 21:16:58.246,300.573
176,21 Jul 2022 22:46:23.046,21 Jul 2022 22:53:29.117,426.071
177,22 Jul 2022 09:29:26.461,22 Jul 2022 09:36:53.544,447.083
178,22 Jul 2022 11:06:50.874,22 Jul 2022 11:10:37.531,226.657
179,22 Jul 2022 21:08:42.021,22 Jul 2022 21:13:39.399,297.378
180,22 Jul 2022 22:43:05.491,22 Jul 2022 22:50:12.805,427.314
181,23 Jul 2022 09:26:09.981,23 Jul 2022 09:33:36.108,446.127
182,23 Jul 2022 11:03:31.241,23 Jul 2022 11:07:22.611,231.370
183,23 Jul 2022 21:05:26.396,23 Jul 2022 21:10:20.521,294.125
184,23 Jul 2022 22:39:47.942,23 Jul 2022 22:46:56.478,428.536
185,24 Jul 2022 09:22:53.510,24 Jul 2022 09:30:18.663,445.153
186,24 Jul 2022 11:00:11.672,24 Jul 2022 11:04:07.631,235.959
187,24 Jul 2022 21:02:10.799,24 Jul 2022 21:07:01.611,290.812
188,24 Jul 2022 22:36:30.401,24 Jul 2022 22:43:40.148,429.747
189,25 Jul 2022 09:19:37.048,25 Jul 2022 09:27:01.215,444.168
190,25 Jul 2022 10:56:52.162,25 Jul 2022 11:00:52.590,240.428
191,25 Jul 2022 20:58:55.230,25 Jul 2022 21:03:42.668,287.438
192,25 Jul 2022 22:33:12.866,25 Jul 2022 22:40:23.809,430.943
193,26 Jul 2022 09:16:20.594,26 Jul 2022 09:23:43.761,443.167
194,26 Jul 2022 10:53:32.709,26 Jul 2022 10:57:37.500,244.791
195,26 Jul 2022 20:55:39.693,26 Jul 2022 21:00:23.692,283.999
196,26 Jul 2022 22:29:55.339,26 Jul 2022 22:37:07.458,432.119
197,27 Jul 2022 09:13:04.150,27 Jul 2022 09:20:26.301,442.151
198,27 Jul 2022 10:50:13.309,27 Jul 2022 10:54:22.359,249.050
199,27 Jul 2022 20:52:24.187,27 Jul 2022 20:57:04.681,280.494
200,27 Jul 2022 22:26:37.818,27 Jul 2022 22:33:51.097,433.279
201,28 Jul 2022 09:09:47.714,28 Jul 2022 09:17:08.834,441.120
202,28 Jul 2022 10:46:53.960,28 Jul 2022 10:51:07.170,253.210
203,28 Jul 2022 20:49:08.715,28 Jul 2022 20:53:45.635,276.920
204,28 Jul 2022 22:23:20.304,28 Jul 2022 22:30:34.727,434.423
205,29 Jul 2022 09:06:31.288,29 Jul 2022 09:13:51.358,440.070
206,29 Jul 2022 10:43:34.659,29 Jul 2022 10:47:51.935,257.276
207,29 Jul 2022 20:45:53.277,29 Jul 2022 20:50:26.552,273.275
208,29 Jul 2022 22:20:02.797,29 Jul 2022 22:27:18.348,435.551
209,30 Jul 2022 09:03:14.870,30 Jul 2022 09:10:33.879,439.009
210,30 Jul 2022 10:40:15.404,30 Jul 2022 10:44:36.659,261.255
211,30 Jul 2022 20:42:37.875,30 Jul 2022 20:47:07.435,269.560
212,30 Jul 2022 22:16:45.296,30 Jul 2022 22:24:01.959,436.663
213,31 Jul 2022 08:59:58.462,31 Jul 2022 09:07:16.393,437.931
214,31 Jul 2022 10:36:56.194,31 Jul 2022 10:41:21.343,265.149
215,31 Jul 2022 20:39:22.506,31 Jul 2022 20:43:48.270,265.764
216,31 Jul 2022 22:13:27.802,31 Jul 2022 22:20:45.558,437.756
217,1 Aug 2022 08:56:42.063,1 Aug 2022 09:03:58.901,436.838
218,1 Aug 2022 10:33:37.026,1 Aug 2022 10:38:05.980,268.954
219,1 Aug 2022 20:36:07.181,1 Aug 2022 20:40:29.066,261.886
220,1 Aug 2022 22:10:10.315,1 Aug 2022 22:17:29.151,438.836
221,2 Aug 2022 08:53:25.673,2 Aug 2022 09:00:41.403,435.730
222,2 Aug 2022 10:30:17.898,2 Aug 2022 10:34:50.584,272.686
223,2 Aug 2022 20:32:51.896,2 Aug 2022 20:37:09.818,257.922
224,2 Aug 2022 22:06:52.834,2 Aug 2022 22:14:12.737,439.903
225,3 Aug 2022 08:50:09.293,3 Aug 2022 08:57:23.899,434.606
226,3 Aug 2022 10:26:58.810,3 Aug 2022 10:31:35.153,276.343
227,3 Aug 2022 20:29:36.655,3 Aug 2022 20:33:50.525,253.871
228,3 Aug 2022 22:03:35.360,3 Aug 2022 22:10:56.312,440.952
229,4 Aug 2022 08:46:52.921,4 Aug 2022 08:54:06.386,433.465
230,4 Aug 2022 10:23:39.759,4 Aug 2022 10:28:19.687,279.928
231,4 Aug 2022 20:26:21.459,4 Aug 2022 20:30:31.185,249.726
232,4 Aug 2022 22:00:17.892,4 Aug 2022 22:07:39.877,441.985
233,5 Aug 2022 08:43:36.560,5 Aug 2022 08:50:48.867,432.307
234,5 Aug 2022 10:20:20.743,5 Aug 2022 10:25:04.188,283.444
235,5 Aug 2022 20:23:06.310,5 Aug 2022 20:27:11.794,245.484
236,5 Aug 2022 21:57:00.430,5 Aug 2022 22:04:23.434,443.004
237,6 Aug 2022 08:40:20.207,6 Aug 2022 08:47:31.340,431.133
238,6 Aug 2022 10:17:01.767,6 Aug 2022 10:21:48.657,286.889
239,6 Aug 2022 20:19:51.213,6 Aug 2022 20:23:52.354,241.140
240,6 Aug 2022 21:53:42.975,6 Aug 2022 22:01:06.981,444.006
241,7 Aug 2022 08:37:03.864,7 Aug 2022 08:44:13.807,429.943
242,7 Aug 2022 10:13:42.820,7 Aug 2022 10:18:33.095,290.275
243,7 Aug 2022 20:16:36.167,7 Aug 2022 20:20:32.854,236.687
244,7 Aug 2022 21:50:25.525,7 Aug 2022 21:57:50.522,444.997
245,8 Aug 2022 08:33:47.531,8 Aug 2022 08:40:56.265,428.734
246,8 Aug 2022 10:10:23.905,8 Aug 2022 10:15:17.502,293.597
247,8 Aug 2022 20:13:21.176,8 Aug 2022 20:17:13.295,232.118
248,8 Aug 2022 21:47:08.082,8 Aug 2022 21:54:34.052,445.970
249,9 Aug 2022 08:30:31.207,9 Aug 2022 08:37:38.715,427.508
250,9 Aug 2022 10:07:05.021,9 Aug 2022 10:12:01.881,296.860
251,9 Aug 2022 20:10:06.246,9 Aug 2022 20:13:53.673,227.427
252,9 Aug 2022 21:43:50.645,9 Aug 2022 21:51:17.573,446.929
253,10 Aug 2022 08:27:14.892,10 Aug 2022 08:34:21.164,426.272
254,10 Aug 2022 10:03:46.167,10 Aug 2022 10:08:46.232,300.065
255,10 Aug 2022 20:06:51.378,10 Aug 2022 20:10:33.984,222.606
256,10 Aug 2022 21:40:33.213,10 Aug 2022 21:48:01.085,447.872
257,11 Aug 2022 08:23:58.588,11 Aug 2022 08:31:03.602,425.014
258,11 Aug 2022 10:00:27.345,11 Aug 2022 10:05:30.551,303.206
259,11 Aug 2022 20:03:36.579,11 Aug 2022 20:07:14.224,217.644
260,11 Aug 2022 21:37:15.788,11 Aug 2022 21:44:44.589,448.801
261,12 Aug 2022 08:20:42.293,12 Aug 2022 08:27:46.032,423.739
262,12 Aug 2022 09:57:08.549,12 Aug 2022 10:02:14.851,306.302
263,12 Aug 2022 20:00:21.854,12 Aug 2022 20:03:54.386,212.532
264,12 Aug 2022 21:33:58.369,12 Aug 2022 21:41:28.085,449.716
265,13 Aug 2022 08:17:26.008,13 Aug 2022 08:24:28.454,422.446
266,13 Aug 2022 09:53:49.783,13 Aug 2022 09:58:59.126,309.343
267,13 Aug 2022 19:57:07.207,13 Aug 2022 20:00:34.472,207.265
268,13 Aug 2022 21:30:40.956,13 Aug 2022 21:38:11.572,450.616
269,14 Aug 2022 08:14:09.734,14 Aug 2022 08:21:10.872,421.138
270,14 Aug 2022 09:50:31.041,14 Aug 2022 09:55:43.376,312.335
271,14 Aug 2022 19:53:52.644,14 Aug 2022 19:57:14.468,201.824
272,14 Aug 2022 21:27:23.549,14 Aug 2022 21:34:55.051,451.502
273,15 Aug 2022 08:10:53.470,15 Aug 2022 08:17:53.280,419.810
274,15 Aug 2022 09:47:12.331,15 Aug 2022 09:52:27.603,315.272
275,15 Aug 2022 19:50:38.173,15 Aug 2022 19:53:54.371,196.198
276,15 Aug 2022 21:24:06.149,15 Aug 2022 21:31:38.522,452.373
277,16 Aug 2022 08:07:37.216,16 Aug 2022 08:14:35.684,418.468
278,16 Aug 2022 09:43:53.642,16 Aug 2022 09:49:11.802,318.161
279,16 Aug 2022 19:47:23.801,16 Aug 2022 19:50:34.172,190.371
280,16 Aug 2022 21:20:48.754,16 Aug 2022 21:28:21.983,453.230
281,17 Aug 2022 08:04:20.972,17 Aug 2022 08:11:18.077,417.105
282,17 Aug 2022 09:40:34.978,17 Aug 2022 09:45:55.984,321.007
283,17 Aug 2022 19:44:09.539,17 Aug 2022 19:47:13.862,184.323
284,17 Aug 2022 21:17:31.364,17 Aug 2022 21:25:05.437,454.073
285,18 Aug 2022 08:01:04.739,18 Aug 2022 08:08:00.464,415.725
286,18 Aug 2022 09:37:16.338,18 Aug 2022 09:42:40.144,323.806
287,18 Aug 2022 19:40:55.398,18 Aug 2022 19:43:53.428,178.030
288,18 Aug 2022 21:14:13.981,18 Aug 2022 21:21:48.882,454.901
289,19 Aug 2022 07:57:48.516,19 Aug 2022 08:04:42.843,414.327
290,19 Aug 2022 09:33:57.722,19 Aug 2022 09:39:24.283,326.561
291,19 Aug 2022 19:37:41.391,19 Aug 2022 19:40:32.855,171.464
292,19 Aug 2022 21:10:56.603,19 Aug 2022 21:18:32.319,455.716
293,20 Aug 2022 07:54:32.303,20 Aug 2022 08:01:25.214,412.911
294,20 Aug 2022 09:30:39.130,20 Aug 2022 09:36:08.402,329.272
295,20 Aug 2022 19:34:27.535,20 Aug 2022 19:37:12.129,164.594
296,20 Aug 2022 21:07:39.231,20 Aug 2022 21:15:15.751,456.521
297,21 Aug 2022 07:51:16.101,21 Aug 2022 07:58:07.577,411.476
298,21 Aug 2022 09:27:20.560,21 Aug 2022 09:32:52.500,331.940
299,21 Aug 2022 19:31:13.849,21 Aug 2022 19:33:51.229,157.380
300,21 Aug 2022 21:04:21.864,21 Aug 2022 21:11:59.171,457.307
301,22 Aug 2022 07:47:59.910,22 Aug 2022 07:54:49.930,410.020
302,22 Aug 2022 09:24:02.013,22 Aug 2022 09:29:36.579,334.566
303,22 Aug 2022 19:28:00.359,22 Aug 2022 19:30:30.130,149.771
304,22 Aug 2022 21:01:04.503,22 Aug 2022 21:08:42.580,458.076
305,23 Aug 2022 07:44:43.729,23 Aug 2022 07:51:32.277,408.548
306,23 Aug 2022 09:20:43.483,23 Aug 2022 09:26:20.640,337.157
307,23 Aug 2022 19:24:47.097,23 Aug 2022 19:27:08.802,141.705
308,23 Aug 2022 20:57:47.148,23 Aug 2022 21:05:25.982,458.834
309,24 Aug 2022 07:41:27.559,24 Aug 2022 07:48:14.616,407.056
310,24 Aug 2022 09:17:24.978,24 Aug 2022 09:23:04.682,339.704
311,24 Aug 2022 19:21:34.104,24 Aug 2022 19:23:47.201,133.097
312,24 Aug 2022 20:54:29.798,24 Aug 2022 21:02:09.379,459.581
313,25 Aug 2022 07:38:11.401,25 Aug 2022 07:44:56.946,405.545
314,25 Aug 2022 09:14:06.495,25 Aug 2022 09:19:48.706,342.212
315,25 Aug 2022 19:18:21.434,25 Aug 2022 19:20:25.270,123.836
316,25 Aug 2022 20:51:12.454,25 Aug 2022 20:58:52.766,460.312
