"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
138,5 Jul 2022 01:17:24.513,5 Jul 2022 01:24:47.876,443.363
139,5 Jul 2022 12:01:42.529,5 Jul 2022 12:09:02.168,439.639
140,5 Jul 2022 13:38:34.489,5 Jul 2022 13:43:15.123,280.633
141,5 Jul 2022 23:40:03.455,5 Jul 2022 23:44:27.039,263.584
142,6 Jul 2022 01:14:07.078,6 Jul 2022 01:21:31.404,444.326
143,6 Jul 2022 11:58:26.095,6 Jul 2022 12:05:44.704,438.608
144,6 Jul 2022 13:35:15.520,6 Jul 2022 13:39:59.552,284.032
145,6 Jul 2022 23:36:48.080,6 Jul 2022 23:41:07.855,259.776
146,7 Jul 2022 01:10:49.649,7 Jul 2022 01:18:14.922,445.273
147,7 Jul 2022 11:55:09.670,7 Jul 2022 12:02:27.235,437.565
148,7 Jul 2022 13:31:56.583,7 Jul 2022 13:36:43.951,287.368
149,7 Jul 2022 23:33:32.743,7 Jul 2022 23:37:48.631,255.887
150,8 Jul 2022 01:07:32.225,8 Jul 2022 01:14:58.431,446.205
151,8 Jul 2022 11:51:53.254,8 Jul 2022 11:59:09.761,436.507
152,8 Jul 2022 13:28:37.682,8 Jul 2022 13:33:28.321,290.639
153,8 Jul 2022 23:30:17.449,8 Jul 2022 23:34:29.362,251.913
154,9 Jul 2022 01:04:14.807,9 Jul 2022 01:11:41.931,447.124
155,9 Jul 2022 11:48:36.847,9 Jul 2022 11:55:52.281,435.434
156,9 Jul 2022 13:25:18.807,9 Jul 2022 13:30:12.663,293.857
157,9 Jul 2022 23:27:02.197,9 Jul 2022 23:31:10.047,247.850
158,10 Jul 2022 01:00:57.395,10 Jul 2022 01:08:25.423,448.028
159,10 Jul 2022 11:45:20.448,10 Jul 2022 11:52:34.794,434.345
160,10 Jul 2022 13:21:59.960,10 Jul 2022 13:26:56.979,297.018
161,10 Jul 2022 23:23:46.991,10 Jul 2022 23:27:50.683,243.692
162,11 Jul 2022 00:57:39.988,11 Jul 2022 01:05:08.908,448.920
163,11 Jul 2022 11:42:04.058,11 Jul 2022 11:49:17.302,433.244
164,11 Jul 2022 13:18:41.142,11 Jul 2022 13:23:41.268,300.126
165,11 Jul 2022 23:20:31.836,11 Jul 2022 23:24:31.272,239.436
166,12 Jul 2022 00:54:22.587,12 Jul 2022 01:01:52.384,449.797
167,12 Jul 2022 11:38:47.677,12 Jul 2022 11:45:59.802,432.125
168,12 Jul 2022 13:15:22.354,12 Jul 2022 13:20:25.527,303.173
169,12 Jul 2022 23:17:16.728,12 Jul 2022 23:21:11.802,235.074
170,13 Jul 2022 00:51:05.190,13 Jul 2022 00:58:35.852,450.661
171,13 Jul 2022 11:35:31.305,13 Jul 2022 11:42:42.295,430.990
172,13 Jul 2022 13:12:03.591,13 Jul 2022 13:17:09.768,306.178
173,13 Jul 2022 23:14:01.675,13 Jul 2022 23:17:52.276,230.602
174,14 Jul 2022 00:47:47.800,14 Jul 2022 00:55:19.311,451.512
175,14 Jul 2022 11:32:14.942,14 Jul 2022 11:39:24.783,429.841
176,14 Jul 2022 13:08:44.855,14 Jul 2022 13:13:53.986,309.130
177,14 Jul 2022 23:10:46.679,14 Jul 2022 23:14:32.690,226.011
178,15 Jul 2022 00:44:30.415,15 Jul 2022 00:52:02.763,452.349
179,15 Jul 2022 11:28:58.588,15 Jul 2022 11:36:07.264,428.676
180,15 Jul 2022 13:05:26.143,15 Jul 2022 13:10:38.180,312.037
181,15 Jul 2022 23:07:31.743,15 Jul 2022 23:11:13.040,221.297
182,16 Jul 2022 00:41:13.035,16 Jul 2022 00:48:46.207,453.172
183,16 Jul 2022 11:25:42.243,16 Jul 2022 11:32:49.736,427.493
184,16 Jul 2022 13:02:07.461,16 Jul 2022 13:07:22.352,314.891
185,16 Jul 2022 23:04:16.874,16 Jul 2022 23:07:53.320,216.447
186,17 Jul 2022 00:37:55.661,17 Jul 2022 00:45:29.643,453.982
187,17 Jul 2022 11:22:25.907,17 Jul 2022 11:29:32.202,426.295
188,17 Jul 2022 12:58:48.800,17 Jul 2022 13:04:06.498,317.699
189,17 Jul 2022 23:01:02.074,17 Jul 2022 23:04:33.528,211.454
190,18 Jul 2022 00:34:38.292,18 Jul 2022 00:42:13.071,454.779
191,18 Jul 2022 11:19:09.581,18 Jul 2022 11:26:14.669,425.087
192,18 Jul 2022 12:55:30.162,18 Jul 2022 13:00:50.628,320.466
193,18 Jul 2022 22:57:47.349,18 Jul 2022 23:01:13.662,206.313
194,19 Jul 2022 00:31:20.929,19 Jul 2022 00:38:56.491,455.563
195,19 Jul 2022 11:15:53.265,19 Jul 2022 11:22:57.123,423.858
196,19 Jul 2022 12:52:11.547,19 Jul 2022 12:57:34.738,323.191
197,19 Jul 2022 22:54:32.704,19 Jul 2022 22:57:53.710,201.006
198,20 Jul 2022 00:28:03.571,20 Jul 2022 00:35:39.908,456.338
199,20 Jul 2022 11:12:36.957,20 Jul 2022 11:19:39.570,422.612
200,20 Jul 2022 12:48:52.955,20 Jul 2022 12:54:18.827,325.872
201,20 Jul 2022 22:51:18.146,20 Jul 2022 22:54:33.669,195.524
202,21 Jul 2022 00:24:46.218,21 Jul 2022 00:32:23.313,457.095
203,21 Jul 2022 11:09:20.660,21 Jul 2022 11:16:22.009,421.349
204,21 Jul 2022 12:45:34.386,21 Jul 2022 12:51:02.898,328.512
205,21 Jul 2022 22:48:03.683,21 Jul 2022 22:51:13.532,189.849
206,22 Jul 2022 00:21:28.870,22 Jul 2022 00:29:06.705,457.835
207,22 Jul 2022 11:06:04.371,22 Jul 2022 11:13:04.445,420.073
208,22 Jul 2022 12:42:15.838,22 Jul 2022 12:47:46.950,331.112
209,22 Jul 2022 22:44:49.323,22 Jul 2022 22:47:53.288,183.965
210,23 Jul 2022 00:18:11.528,23 Jul 2022 00:25:50.093,458.565
211,23 Jul 2022 11:02:48.092,23 Jul 2022 11:09:46.871,418.778
212,23 Jul 2022 12:38:57.311,23 Jul 2022 12:44:30.984,333.672
213,23 Jul 2022 22:41:35.078,23 Jul 2022 22:44:32.928,177.849
214,24 Jul 2022 00:14:54.191,24 Jul 2022 00:22:33.475,459.285
215,24 Jul 2022 10:59:31.823,24 Jul 2022 11:06:29.293,417.470
216,24 Jul 2022 12:35:38.802,24 Jul 2022 12:41:14.999,336.198
217,24 Jul 2022 22:38:20.960,24 Jul 2022 22:41:12.435,171.475
218,25 Jul 2022 00:11:36.858,25 Jul 2022 00:19:16.848,459.989
219,25 Jul 2022 10:56:15.564,25 Jul 2022 11:03:11.706,416.142
220,25 Jul 2022 12:32:20.315,25 Jul 2022 12:37:58.998,338.683
221,25 Jul 2022 22:35:06.983,25 Jul 2022 22:37:51.798,164.815
222,26 Jul 2022 00:08:19.531,26 Jul 2022 00:16:00.212,460.681
223,26 Jul 2022 10:52:59.314,26 Jul 2022 10:59:54.112,414.798
224,26 Jul 2022 12:29:01.848,26 Jul 2022 12:34:42.980,341.131
225,26 Jul 2022 22:31:53.167,26 Jul 2022 22:34:30.998,157.831
226,27 Jul 2022 00:05:02.209,27 Jul 2022 00:12:43.572,461.363
227,27 Jul 2022 10:49:43.075,27 Jul 2022 10:56:36.511,413.437
228,27 Jul 2022 12:25:43.401,27 Jul 2022 12:31:26.945,343.544
229,27 Jul 2022 22:28:39.533,27 Jul 2022 22:31:10.013,150.480
230,28 Jul 2022 00:01:44.892,28 Jul 2022 00:09:26.921,462.029
231,28 Jul 2022 10:46:26.845,28 Jul 2022 10:53:18.903,412.058
232,28 Jul 2022 12:22:24.973,28 Jul 2022 12:28:10.894,345.921
233,28 Jul 2022 22:25:26.110,28 Jul 2022 22:27:48.814,142.704
234,28 Jul 2022 23:58:27.580,29 Jul 2022 00:06:10.263,462.683
235,29 Jul 2022 10:43:10.625,29 Jul 2022 10:50:01.288,410.663
236,29 Jul 2022 12:19:06.561,29 Jul 2022 12:24:54.828,348.267
237,29 Jul 2022 22:22:12.935,29 Jul 2022 22:24:27.365,134.430
238,29 Jul 2022 23:55:10.273,30 Jul 2022 00:02:53.597,463.324
239,30 Jul 2022 10:39:54.416,30 Jul 2022 10:46:43.663,409.247
240,30 Jul 2022 12:15:48.169,30 Jul 2022 12:21:38.747,350.577
241,30 Jul 2022 22:19:00.057,30 Jul 2022 22:21:05.612,125.555
242,30 Jul 2022 23:51:52.971,30 Jul 2022 23:59:36.923,463.953
243,31 Jul 2022 10:36:38.217,31 Jul 2022 10:43:26.033,407.816
244,31 Jul 2022 12:12:29.795,31 Jul 2022 12:18:22.651,352.855
245,31 Jul 2022 22:15:47.542,31 Jul 2022 22:17:43.499,115.957
246,31 Jul 2022 23:48:35.674,31 Jul 2022 23:56:20.243,464.568
