"Access","StartTime","StopTime","Duration"
167,12 Jun 2022 02:18:04.450,12 Jun 2022 02:25:12.662,428.212
168,12 Jun 2022 03:52:38.851,12 Jun 2022 04:00:32.768,473.918
169,12 Jun 2022 05:27:56.408,12 Jun 2022 05:36:04.300,487.892
170,12 Jun 2022 07:04:09.405,12 Jun 2022 07:11:43.307,453.902
171,12 Jun 2022 08:41:17.741,12 Jun 2022 08:47:29.890,372.149
172,12 Jun 2022 10:19:03.392,12 Jun 2022 10:23:31.414,268.022
173,12 Jun 2022 11:56:35.219,12 Jun 2022 12:00:15.541,220.322
174,12 Jun 2022 13:33:05.956,12 Jun 2022 13:37:56.861,290.905
175,12 Jun 2022 15:09:02.628,12 Jun 2022 15:15:36.993,394.365
176,12 Jun 2022 16:44:47.211,12 Jun 2022 16:52:33.418,466.207
177,12 Jun 2022 18:20:24.647,12 Jun 2022 18:28:33.240,488.593
178,12 Jun 2022 19:55:54.061,12 Jun 2022 20:03:39.391,465.330
179,12 Jun 2022 21:31:10.524,12 Jun 2022 21:38:06.904,416.380
180,12 Jun 2022 23:06:04.965,12 Jun 2022 23:12:22.531,377.567
181,13 Jun 2022 00:40:32.108,13 Jun 2022 00:46:55.373,383.264
182,13 Jun 2022 02:14:47.640,13 Jun 2022 02:21:55.640,428.000
183,13 Jun 2022 03:49:21.905,13 Jun 2022 03:57:15.683,473.778
184,13 Jun 2022 05:24:39.252,13 Jun 2022 05:32:47.179,487.927
185,13 Jun 2022 07:00:52.012,13 Jun 2022 07:08:26.157,454.146
186,13 Jun 2022 08:38:00.141,13 Jun 2022 08:44:12.703,372.562
187,13 Jun 2022 10:15:45.714,13 Jun 2022 10:20:14.128,268.414
188,13 Jun 2022 11:53:17.743,13 Jun 2022 11:56:57.999,220.256
189,13 Jun 2022 13:29:48.702,13 Jun 2022 13:34:39.182,290.480
190,13 Jun 2022 15:05:45.451,13 Jun 2022 15:12:19.433,393.982
191,13 Jun 2022 16:41:30.068,13 Jun 2022 16:49:16.077,466.010
192,13 Jun 2022 18:17:07.533,13 Jun 2022 18:25:16.135,488.602
193,13 Jun 2022 19:52:36.986,13 Jun 2022 20:00:22.484,465.498
194,13 Jun 2022 21:27:53.519,13 Jun 2022 21:34:50.109,416.589
195,13 Jun 2022 23:02:48.070,13 Jun 2022 23:09:05.719,377.649
196,14 Jun 2022 00:37:15.311,14 Jun 2022 00:43:38.451,383.140
197,14 Jun 2022 02:11:30.830,14 Jun 2022 02:18:38.616,427.786
198,14 Jun 2022 03:46:04.960,14 Jun 2022 03:53:58.598,473.638
199,14 Jun 2022 05:21:22.096,14 Jun 2022 05:29:30.057,487.961
200,14 Jun 2022 06:57:34.619,14 Jun 2022 07:05:09.008,454.389
201,14 Jun 2022 08:34:42.541,14 Jun 2022 08:40:55.515,372.974
202,14 Jun 2022 10:12:28.036,14 Jun 2022 10:16:56.843,268.807
203,14 Jun 2022 11:50:00.265,14 Jun 2022 11:53:40.458,220.193
204,14 Jun 2022 13:26:31.448,14 Jun 2022 13:31:21.502,290.054
205,14 Jun 2022 15:02:28.274,14 Jun 2022 15:09:01.872,393.598
206,14 Jun 2022 16:38:12.924,14 Jun 2022 16:45:58.736,465.811
207,14 Jun 2022 18:13:50.418,14 Jun 2022 18:21:59.029,488.611
208,14 Jun 2022 19:49:19.912,14 Jun 2022 19:57:05.576,465.665
209,14 Jun 2022 21:24:36.514,14 Jun 2022 21:31:33.313,416.798
210,14 Jun 2022 22:59:31.175,14 Jun 2022 23:05:48.907,377.732
211,15 Jun 2022 00:33:58.514,15 Jun 2022 00:40:21.528,383.014
212,15 Jun 2022 02:08:14.020,15 Jun 2022 02:15:21.592,427.572
213,15 Jun 2022 03:42:48.016,15 Jun 2022 03:50:41.513,473.497
214,15 Jun 2022 05:18:04.942,15 Jun 2022 05:26:12.936,487.994
215,15 Jun 2022 06:54:17.227,15 Jun 2022 07:01:51.859,454.631
216,15 Jun 2022 08:31:24.942,15 Jun 2022 08:37:38.328,373.385
217,15 Jun 2022 10:09:10.359,15 Jun 2022 10:13:39.559,269.200
218,15 Jun 2022 11:46:42.787,15 Jun 2022 11:50:22.918,220.131
219,15 Jun 2022 13:23:14.194,15 Jun 2022 13:28:03.823,289.629
220,15 Jun 2022 14:59:11.096,15 Jun 2022 15:05:44.310,393.213
221,15 Jun 2022 16:34:55.781,15 Jun 2022 16:42:41.393,465.612
222,15 Jun 2022 18:10:33.303,15 Jun 2022 18:18:41.922,488.619
223,15 Jun 2022 19:46:02.837,15 Jun 2022 19:53:48.668,465.831
224,15 Jun 2022 21:21:19.508,15 Jun 2022 21:28:16.517,417.008
225,15 Jun 2022 22:56:14.279,15 Jun 2022 23:02:32.096,377.817
226,16 Jun 2022 00:30:41.716,16 Jun 2022 00:37:04.608,382.891
227,16 Jun 2022 02:04:57.211,16 Jun 2022 02:12:04.569,427.358
228,16 Jun 2022 03:39:31.072,16 Jun 2022 03:47:24.428,473.356
229,16 Jun 2022 05:14:47.788,16 Jun 2022 05:22:55.815,488.027
230,16 Jun 2022 06:50:59.837,16 Jun 2022 06:58:34.710,454.873
231,16 Jun 2022 08:28:07.344,16 Jun 2022 08:34:21.141,373.796
232,16 Jun 2022 10:05:52.681,16 Jun 2022 10:10:22.275,269.594
233,16 Jun 2022 11:43:25.307,16 Jun 2022 11:47:05.379,220.072
234,16 Jun 2022 13:19:56.939,16 Jun 2022 13:24:46.142,289.204
235,16 Jun 2022 14:55:53.919,16 Jun 2022 15:02:26.747,392.828
236,16 Jun 2022 16:31:38.638,16 Jun 2022 16:39:24.049,465.412
237,16 Jun 2022 18:07:16.188,16 Jun 2022 18:15:24.814,488.626
238,16 Jun 2022 19:42:45.761,16 Jun 2022 19:50:31.759,465.997
239,16 Jun 2022 21:18:02.502,16 Jun 2022 21:24:59.720,417.218
240,16 Jun 2022 22:52:57.383,16 Jun 2022 22:59:15.285,377.902
241,17 Jun 2022 00:27:24.918,17 Jun 2022 00:33:47.688,382.769
242,17 Jun 2022 02:01:40.402,17 Jun 2022 02:08:47.546,427.144
243,17 Jun 2022 03:36:14.130,17 Jun 2022 03:44:07.344,473.214
244,17 Jun 2022 05:11:30.635,17 Jun 2022 05:19:38.694,488.058
245,17 Jun 2022 06:47:42.448,17 Jun 2022 06:55:17.560,455.113
246,17 Jun 2022 08:24:49.747,17 Jun 2022 08:31:03.953,374.206
247,17 Jun 2022 10:02:35.003,17 Jun 2022 10:07:04.989,269.985
248,17 Jun 2022 11:40:07.827,17 Jun 2022 11:43:47.841,220.014
